SITE,CONST,YR,DOY,MP1,MP2,MP5,CRMP1,CRMP2,CRMP5,CRGF,CRMW,CRIOD
ALGR,G,23,115,0.2897,0.3603,0.2594,688.395,450.707,920.412,871.967,335.372,747.4
ALGR,G,23,116,0.2872,0.3575,0.2578,687.026,434.983,1303.75,815.844,348.093,767.853
ALGR,G,23,117,0.2912,0.3514,0.2569,492.849,389.716,1045.2,607.465,408.141,544.188
ALGR,G,23,118,0.2874,0.3571,0.2621,533.653,353.216,1044.6,622.595,300.563,594.295
ALGR,G,23,119,0.2864,0.3529,0.2608,592.591,434.217,1199.69,790.121,367.239,651.85
ALGR,G,23,120,0.2901,0.3488,0.259,458.421,367.746,979.125,544.375,275.053,475.091
ALIG,G,23,1,0.278,0.2999,0.205,487.286,426.357,1888.57,746.156,280.906,582.366
ALIG,G,23,2,0.2758,0.296,0.2089,519.771,470.566,3506.75,580.209,337.149,530.83
ALIG,G,23,3,0.2744,0.2954,0.2041,529.404,452.2,1167.83,731.824,331.76,654.789
ALIG,G,23,4,0.2768,0.2992,0.2048,479.635,437.474,2005.29,674.081,274.077,542.196
ALIG,G,23,5,0.2781,0.3006,0.2095,581.512,480.75,2812.6,757.727,301.265,595.357
ALIG,G,23,6,0.274,0.3009,0.2088,755.182,655.737,1401.6,830.7,300.253,712.029
ALIG,G,23,7,0.275,0.3003,0.2023,508.878,508.816,1752.38,639.359,226.682,579.884
ALIG,G,23,8,0.2735,0.2985,0.2053,452.745,414.883,1399,592.881,267.753,508.184
ALIG,G,23,9,0.2781,0.2991,0.2031,608.512,530.596,1752.12,831.633,280.326,733.794
ALIG,G,23,10,0.2716,0.3025,0.1989,639.308,530.298,1077.77,958.962,307.815,779.156
ALIG,G,23,11,0.2786,0.2988,0.2058,503.143,456.5,1397.7,601.317,280.159,535.957
ALIG,G,23,12,0.2775,0.3007,0.2049,409.246,383.985,823.765,594.381,312.05,509.469
ALIG,G,23,13,0.2843,0.3043,0.204,489.569,409.262,824.059,674.811,300.819,542.783
ALIG,G,23,14,0.2839,0.3036,0.2027,265.436,259.854,349.425,372.403,252.03,300.614
ALIG,G,23,15,0.2762,0.3011,0.2022,624.475,499.52,1559,861.345,265.734,693.861
ALIG,G,23,16,0.2813,0.3058,0.2106,567.205,489.294,1402.1,831.9,242.301,656.763
ALIG,G,23,17,0.2828,0.3073,0.2047,453.655,402.355,931.6,656.605,247.04,542.413
ALIG,G,23,18,0.2778,0.3026,0.2128,519.667,530.681,1165.83,656.421,290.047,608.39
ALIG,G,23,19,0.273,0.3056,0.2079,712.143,639,998.643,804.032,249.25,778.906
ALIG,G,23,20,0.278,0.309,0.208,756,692.833,1398.2,1134,286.759,959.538
ALIG,G,23,21,0.2786,0.3052,0.2057,246.218,216.209,516.444,407.672,226.073,276.311
ALIG,G,23,22,0.2806,0.3057,0.2012,519.271,461.537,872.625,639.103,254.337,566.477
ALIG,G,23,23,0.279,0.3068,0.2064,586.167,482.706,821.529,683.861,337.247,615.475
ALIG,G,23,24,0.2725,0.3162,0.2146,571.643,521.826,997.714,666.917,260.967,615.615
ALIG,G,23,25,0.2804,0.3212,0.2128,490.796,387.806,875.812,522.804,282.929,480.98
ALIG,G,23,26,0.2714,0.3135,0.2116,561.325,590.421,1384.56,724.29,246.736,641.514
ALIG,G,23,27,0.2761,0.3122,0.2138,223.111,211.333,285.673,523.826,229.486,491.755
ALIG,G,23,28,0.2727,0.3125,0.2121,599.75,532.511,1393.7,685.429,249.896,585.122
ALIG,G,23,29,0.2724,0.3121,0.2099,561.976,489.979,1443.33,677.676,303.171,658.314
